frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,is_paused,nudge_mode
1144,1181,0,147686.726,156108,-8421.274,true,4,0,false,jump
1145,1190,0,148102.399,156108,-8005.601,true,4,0,false,jump
1146,1199,0,148518.244,156108,-7589.756,true,4,0,false,jump
1147,1209,0,148978.521,158597,-9618.479,true,4,0,false,jump
1148,1218,0,149394.205,158597,-9202.795,true,4,0,false,jump
1149,1228,0,149810.000,158597,-8787.000,true,4,0,false,jump
1150,1237,0,150268.576,159038,-8769.424,true,4,0,false,jump
1151,1247,0,150684.353,159038,-8353.647,true,4,0,false,jump
1152,1256,0,151104.150,161086,-9981.850,true,4,0,false,jump
1153,1266,0,151565.116,161527,-9961.884,true,4,0,false,jump
1154,1275,0,151980.796,161527,-9546.204,true,4,0,false,jump
1155,1284,0,152396.419,161527,-9130.581,true,4,0,false,jump
1156,1294,0,152859.778,164016,-11156.222,true,4,0,false,jump
1157,1303,0,153275.418,164016,-10740.582,true,4,0,false,jump
1158,1313,0,153691.043,164016,-10324.957,true,4,0,false,jump
1159,1322,0,154106.672,164016,-9909.328,true,4,0,false,jump
1160,1332,0,154567.492,164457,-9889.508,true,4,0,false,jump
1161,1341,0,154987.272,166505,-11517.728,true,4,0,false,jump
1162,1351,0,155403.814,166505,-11101.186,true,4,0,false,jump
1163,1360,0,155867.020,166946,-11078.980,true,4,0,false,jump
1164,1369,0,156283.602,166946,-10662.398,true,4,0,false,jump
1165,1379,0,156699.343,166946,-10246.657,true,4,0,false,jump
1166,1388,0,157160.841,167387,-10226.159,true,4,0,false,jump
1167,1398,0,157577.293,167387,-9809.707,true,4,0,false,jump
1168,1407,0,157992.982,167387,-9394.018,true,4,0,false,jump
1169,1417,0,158452.771,167828,-9375.229,true,4,0,false,jump
1170,1426,0,158872.566,169876,-11003.434,true,4,0,false,jump
1171,1436,0,159288.148,169876,-10587.852,true,4,0,false,jump
1172,1445,0,159750.326,170317,-10566.674,true,4,0,false,jump
1173,1455,0,160165.985,170317,-10151.015,true,4,0,false,jump
1174,1464,0,160585.763,172365,-11779.237,true,4,0,false,jump
1175,1473,0,161001.415,172365,-11363.585,true,4,0,false,jump
1176,1483,0,161465.144,172806,-11340.856,true,4,0,false,jump
1177,1492,0,161880.773,172806,-10925.227,true,4,0,false,jump
1178,1502,0,162296.456,172806,-10509.544,true,4,0,false,jump
1179,1512,0,162762.573,175295,-12532.427,true,4,0,false,jump
1180,1521,0,163178.254,175295,-12116.746,true,4,0,false,jump
1181,1530,0,163593.943,175295,-11701.057,true,4,0,false,jump
1182,1540,0,164058.347,175736,-11677.653,true,4,0,false,jump
1183,1549,0,177642.254,177784,-141.746,true,4,0,false,jump
1184,1558,0,178058.549,177784,274.549,true,4,0,false,jump
1185,1568,0,178499.002,178225,274.002,true,4,0,false,jump
1186,1577,0,178914.718,178225,689.718,true,4,0,false,jump
1187,1587,0,179330.569,178225,1105.569,true,4,0,false,jump
1188,1596,0,179750.359,180273,-522.641,true,4,0,false,jump
1189,1606,0,180192.408,180714,-521.592,true,4,0,false,jump
1190,1615,0,180608.036,180714,-105.964,true,4,0,false,jump
1191,1625,0,181023.788,180714,309.788,true,4,0,false,jump
1192,1634,0,181468.266,183203,-1734.734,true,4,0,false,jump
1193,1644,0,181883.872,183203,-1319.128,true,4,0,false,jump
1194,1653,0,182299.629,183203,-903.371,true,4,0,false,jump
1195,1662,0,182742.437,183644,-901.563,true,4,0,false,jump
1196,1672,0,183158.172,183644,-485.828,true,4,0,false,jump
1197,1681,0,183577.956,185692,-2114.044,true,4,0,false,jump
1198,1691,0,184023.186,186133,-2109.814,true,4,0,false,jump
1199,1700,0,184439.005,186133,-1693.995,true,4,0,false,jump
1200,1710,0,184854.744,186133,-1278.256,true,4,0,false,jump
1201,1719,0,185302.398,188622,-3319.602,true,4,0,false,jump
1202,1728,0,185718.104,188622,-2903.896,true,4,0,false,jump
1203,1738,0,186133.822,188622,-2488.178,true,4,0,false,jump
1204,1747,0,186549.494,188622,-2072.506,true,4,0,false,jump
1205,1757,0,186994.641,189063,-2068.359,true,4,0,false,jump
1206,1766,0,187414.491,191111,-3696.509,true,4,0,false,jump
1207,1776,0,187830.177,191111,-3280.823,true,4,0,false,jump
1208,1785,0,188277.741,191552,-3274.259,true,4,0,false,jump
1209,1795,0,188693.440,191552,-2858.560,true,4,0,false,jump
1210,1804,0,189114.580,193600,-4485.420,true,4,0,false,jump
1211,1814,0,189564.556,194041,-4476.444,true,4,0,false,jump
1212,1823,0,189980.409,194041,-4060.591,true,4,0,false,jump
1213,1832,0,190396.063,194041,-3644.937,true,4,0,false,jump
1214,1842,0,190844.355,194482,-3637.645,true,4,0,false,jump
1215,1851,0,191264.086,196530,-5265.914,true,4,0,false,jump
1216,1861,0,191677.880,196530,-4852.120,true,4,0,false,jump
1217,1870,0,192128.588,196971,-4842.412,true,4,0,false,jump
1218,1880,0,192544.290,196971,-4426.710,true,4,0,false,jump
1219,1889,0,192960.810,196971,-4010.190,true,4,0,false,jump
1220,1899,0,193409.833,197412,-4002.167,true,4,0,false,jump
1221,1908,0,193825.479,197412,-3586.521,true,4,0,false,jump
1222,1917,0,194241.362,197412,-3170.638,true,4,0,false,jump
1223,1927,0,194657.371,197412,-2754.629,true,4,0,false,jump
1224,1936,0,195107.979,199901,-4793.021,true,4,0,false,jump
1225,1946,0,195521.858,199901,-4379.142,true,4,0,false,jump
1226,1955,0,195937.535,199901,-3963.465,true,4,0,false,jump
1227,1965,0,196386.464,200342,-3955.536,true,4,0,false,jump
1228,1974,0,196802.142,200342,-3539.858,true,4,0,false,jump
1229,1983,0,197221.948,202390,-5168.052,true,4,0,false,jump
1230,1993,0,197673.286,202831,-5157.714,true,4,0,false,jump
1231,2002,0,198089.259,202831,-4741.741,true,4,0,false,jump
1232,2012,0,198504.976,202831,-4326.024,true,4,0,false,jump
1233,2021,0,198958.726,205320,-6361.274,true,4,0,false,jump
1234,2031,0,199374.005,205320,-5945.995,true,4,0,false,jump
1235,2040,0,199789.722,205320,-5530.278,true,4,0,false,jump
1236,2050,0,200205.547,205320,-5114.453,true,4,0,false,jump
1237,2059,0,200656.779,205761,-5104.221,true,4,0,false,jump
1238,2068,0,201076.586,207809,-6732.414,true,4,0,false,jump
1239,2078,0,201492.256,207809,-6316.744,true,4,0,false,jump
1240,2087,0,201945.891,208250,-6304.109,true,4,0,false,jump
1241,2097,0,202361.605,208250,-5888.395,true,4,0,false,jump
1242,2106,0,202781.448,210298,-7516.552,true,4,0,false,jump
1243,2116,0,203237.482,210739,-7501.518,true,4,0,false,jump
1244,2125,0,203653.126,210739,-7085.874,true,4,0,false,jump
1245,2135,0,204068.800,210739,-6670.200,true,4,0,false,jump
1246,2144,0,204523.143,211180,-6656.857,true,4,0,false,jump
1247,2153,0,204942.901,213228,-8285.099,true,4,0,false,jump
1248,2163,0,205358.586,213228,-7869.414,true,4,0,false,jump
1249,2173,0,205815.329,213669,-7853.671,true,4,0,false,jump
1250,2182,0,206230.990,213669,-7438.010,true,4,0,false,jump
1251,2191,0,206650.767,215717,-9066.233,true,4,0,false,jump
1252,2201,0,207065.459,215717,-8651.541,true,4,0,false,jump
1253,2210,0,207523.763,216158,-8634.237,true,4,0,false,jump
1254,2220,0,207939.454,216158,-8218.546,true,4,0,false,jump
1255,2229,0,208355.098,216158,-7802.902,true,4,0,false,jump
1256,2238,0,208815.803,218647,-9831.197,true,4,0,false,jump
1257,2248,0,209232.244,218647,-9414.756,true,4,0,false,jump
1258,2257,0,209648.847,218647,-8998.153,true,4,0,false,jump
1259,2267,0,210107.847,219088,-8980.153,true,4,0,false,jump
1260,2276,0,210527.913,221136,-10608.087,true,4,0,false,jump
1261,2286,0,210943.840,221136,-10192.160,true,4,0,false,jump
1262,2295,0,211405.227,221577,-10171.773,true,4,0,false,jump
1263,2305,0,211821.906,221577,-9755.094,true,4,0,false,jump
1264,2314,0,212238.331,221577,-9338.669,true,4,0,false,jump
1265,2324,0,212702.108,224066,-11363.892,true,4,0,false,jump
1266,2333,0,213118.926,224066,-10947.074,true,4,0,false,jump
1267,2343,0,213535.393,224066,-10530.607,true,4,0,false,jump
1268,2352,0,213951.244,224066,-10114.756,true,4,0,false,jump
1269,2361,0,214416.573,226555,-12138.427,true,4,0,false,jump
1270,2371,0,214832.301,226555,-11722.699,true,4,0,false,jump
1271,2380,0,215248.167,226555,-11306.833,true,4,0,false,jump
1272,2390,0,215711.784,226996,-11284.216,true,4,0,false,jump
1273,2399,0,216128.317,226996,-10867.683,true,4,0,false,jump
1274,2409,0,216547.659,229044,-12496.341,true,4,0,false,jump
1275,2418,0,217013.655,229485,-12471.345,true,4,0,false,jump
1276,2428,0,217429.373,229485,-12055.627,true,4,0,false,jump
1277,2437,0,217845.016,229485,-11639.984,true,4,0,false,jump
1278,2446,0,218309.297,229926,-11616.703,true,4,0,false,jump
1279,2456,0,218724.969,229926,-11201.031,true,4,0,false,jump
1280,2465,0,219140.666,229926,-10785.334,true,4,0,false,jump
1281,2475,0,219556.401,229926,-10369.599,true,4,0,false,jump
1282,2484,0,220018.146,230367,-10348.854,true,4,0,false,jump
1283,2494,0,220438.196,232415,-11976.804,true,4,0,false,jump
1284,2503,0,220854.019,232415,-11560.981,true,4,0,false,jump
