frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,nudge_events,is_paused,nudge_mode,display_speed
1355,1256,0,195963.734,202247,-6283.266,true,4,0,13,false,jump,1.000000
1356,1266,0,196417.302,202688,-6270.698,true,4,0,14,false,jump,1.000000
1357,1275,0,196833.348,202688,-5854.652,true,4,0,14,false,jump,1.000000
1358,1285,0,197248.990,202688,-5439.010,true,4,0,14,false,jump,1.000000
1359,1294,0,197704.966,205177,-7472.034,true,4,0,15,false,jump,1.000000
1360,1304,0,198120.664,205177,-7056.336,true,4,0,15,false,jump,1.000000
1361,1313,0,198536.317,205177,-6640.683,true,4,0,15,false,jump,1.000000
1362,1323,0,198990.601,205618,-6627.399,true,4,0,16,false,jump,1.000000
1363,1332,0,199406.289,205618,-6211.711,true,4,0,16,false,jump,1.000000
1364,1342,0,199826.862,207666,-7839.138,true,4,0,16,false,jump,1.000000
1365,1351,0,200242.575,207666,-7423.425,true,4,0,16,false,jump,1.000000
1366,1360,0,200698.424,208107,-7408.576,true,4,0,17,false,jump,1.000000
1367,1370,0,201114.185,208107,-6992.815,true,4,0,17,false,jump,1.000000
1368,1379,0,201533.978,210155,-8621.022,true,4,0,17,false,jump,1.000000
1369,1389,0,201992.223,210596,-8603.777,true,4,0,18,false,jump,1.000000
1370,1398,0,202407.913,210596,-8188.087,true,4,0,18,false,jump,1.000000
1371,1408,0,202823.664,210596,-7772.336,true,4,0,18,false,jump,1.000000
1372,1417,0,203280.212,211037,-7756.788,true,4,0,19,false,jump,1.000000
1373,1426,0,203699.975,213085,-9385.025,true,4,0,19,false,jump,1.000000
1374,1436,0,204115.679,213085,-8969.321,true,4,0,19,false,jump,1.000000
1375,1445,0,204574.620,213526,-8951.380,true,4,0,20,false,jump,1.000000
1376,1455,0,204991.068,213526,-8534.932,true,4,0,20,false,jump,1.000000
1377,1464,0,205410.853,215574,-10163.147,true,4,0,20,false,jump,1.000000
1378,1474,0,205872.183,216015,-10142.817,true,4,0,21,false,jump,1.000000
1379,1483,0,206288.577,216015,-9726.423,true,4,0,21,false,jump,1.000000
1380,1493,0,206705.019,216015,-9309.981,true,4,0,21,false,jump,1.000000
1381,1502,0,207120.774,216015,-8894.226,true,4,0,21,false,jump,1.000000
1382,1512,0,207583.660,218504,-10920.340,true,4,0,22,false,jump,1.000000
1383,1521,0,207999.470,218504,-10504.530,true,4,0,22,false,jump,1.000000
1384,1530,0,208415.933,218504,-10088.067,true,4,0,22,false,jump,1.000000
1385,1540,0,208877.111,218945,-10067.889,true,4,0,23,false,jump,1.000000
1386,1549,0,209293.521,218945,-9651.479,true,4,0,23,false,jump,1.000000
1387,1559,0,209710.164,218945,-9234.836,true,4,0,23,false,jump,1.000000
1388,1568,0,210169.636,219386,-9216.364,true,4,0,24,false,jump,1.000000
1389,1578,0,210586.136,219386,-8799.864,true,4,0,24,false,jump,1.000000
1390,1587,0,211001.934,219386,-8384.066,true,4,0,24,false,jump,1.000000
1391,1597,0,211463.799,221875,-10411.201,true,4,0,25,false,jump,1.000000
1392,1606,0,211879.502,221875,-9995.498,true,4,0,25,false,jump,1.000000
1393,1616,0,212295.601,221875,-9579.399,true,4,0,25,false,jump,1.000000
1394,1625,0,212755.763,222316,-9560.237,true,4,0,26,false,jump,1.000000
1395,1634,0,213172.216,222473,-9300.784,true,4,0,26,false,jump,1.000000
1396,1644,0,213591.674,224364,-10772.326,true,4,0,26,false,jump,1.000000
1397,1653,0,214007.560,224364,-10356.440,true,4,0,26,false,jump,1.000000
1398,1663,0,214469.274,224805,-10335.726,true,4,0,27,false,jump,1.000000
1399,1672,0,214885.056,224805,-9919.944,true,4,0,27,false,jump,1.000000
1400,1682,0,215304.988,226853,-11548.012,true,4,0,27,false,jump,1.000000
1401,1691,0,215769.086,227294,-11524.914,true,4,0,28,false,jump,1.000000
1402,1701,0,216185.964,227294,-11108.036,true,4,0,28,false,jump,1.000000
1403,1710,0,216601.604,227294,-10692.396,true,4,0,28,false,jump,1.000000
1404,1719,0,217063.990,227735,-10671.010,true,4,0,29,false,jump,1.000000
1405,1729,0,217484.007,229783,-12298.993,true,4,0,29,false,jump,1.000000
